date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:49	3956/3956	---M--	200	added ('OK')	application/font-woff	etag:%225dfdb6da-f74%22	https://www.makerbean.com/static/fonts/lg.woff?n1z373	/root/websites/makerbean/www.makerbean.com/static/fonts/lgd641.woff	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:50	3880/3880	---M--	200	added ('OK')	application/octet-stream	etag:%225dfdb6da-f28%22	https://www.makerbean.com/static/fonts/lg.ttf?n1z373	/root/websites/makerbean/www.makerbean.com/static/fonts/lgd641.ttf	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:51	8855/8855	---M--	200	added ('OK')	image/svg+xml	etag:%225dfdb6da-2297%22	https://www.makerbean.com/static/fonts/lg.svg?n1z373	/root/websites/makerbean/www.makerbean.com/static/fonts/lgd641.svg	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:52	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:51%20GMT	https://www.makerbean.com/static/css/img/vimeo-play.png	/root/websites/makerbean/www.makerbean.com/static/css/img/vimeo-play.png	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:53	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:52%20GMT	https://www.makerbean.com/static/css/img/video-play.png	/root/websites/makerbean/www.makerbean.com/static/css/img/video-play.png	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:54	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:53%20GMT	https://www.makerbean.com/static/css/img/youtube-play.png	/root/websites/makerbean/www.makerbean.com/static/css/img/youtube-play.png	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:55	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:54%20GMT	https://www.makerbean.com/static/img/loading.gif	/root/websites/makerbean/www.makerbean.com/static/img/loading.gif	(from https://www.makerbean.com/static/css/plugins/plugins.min.css)
14:25:56	39536/39536	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-9a70%22	https://www.makerbean.com/static/images/hero/aeroland-startup-hero-image-reup.png	/root/websites/makerbean/www.makerbean.com/static/images/hero/aeroland-startup-hero-image-reup.png	(from https://www.makerbean.com/online_courses/)
14:25:57	67606/67606	---M--	200	added ('OK')	image/jpeg	etag:%225fe300af-10816%22	https://www.makerbean.com/media/online_courses_index/card_cover/python_course.jpg	/root/websites/makerbean/www.makerbean.com/media/online_courses_index/card_cover/python_course.jpg	(from https://www.makerbean.com/online_courses/)
14:25:59	155511/155511	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-25f77%22	https://www.makerbean.com/media/online_courses_index/card_cover/cpp_intro_400x300.png	/root/websites/makerbean/www.makerbean.com/media/online_courses_index/card_cover/cpp_intro_400x300.png	(from https://www.makerbean.com/online_courses/)
14:26:00	178069/178069	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-2b795%22	https://www.makerbean.com/media/online_courses_index/card_cover/advanced_webcrawler_400x300.png	/root/websites/makerbean/www.makerbean.com/media/online_courses_index/card_cover/advanced_webcrawler_400x300.png	(from https://www.makerbean.com/online_courses/)
